place_slug,facility_id,common_name,address,block_lot,apn_block,apn_lot,is_city_owned,gross_sq_ft,department_name,is_primary,match_method,match_evidence,distance_m
pier-70,1995,"Pier 70 - SWL 349 - Beth Street Warehouse, Bldg. #32",420 22ND ST,4111003,4111,003,true,9306,Port,false,name,Pier 70,222
pier-70,1996,"Pier 70 - SWL 349 - Beth Street Washroom & Locker, Bldg. #24",420 22ND ST,4111003,4111,003,true,3432,Port,false,name,Pier 70,222
pier-70,1997,"Pier 70 - SWL 349 - Beth Street Washroom & Locker, Bldg. #25",420 22ND ST,4111003,4111,003,true,1490,Port,false,name,Pier 70,222
pier-70,1998,"Pier 70 - SWL 349 - Beth Street Washroom & Locker, Bldg. #29",420 22ND ST,4111003,4111,003,true,3696,Port,false,name,Pier 70,222
pier-70,1999,"Pier 70 - SWL 349 - Brass Foundry, Bldg. #115",420 22ND ST,4111003,4111,003,true,17400,Port,false,name,Pier 70,222
pier-70,2000,"Pier 70 - SWL 349 - Foundry, Bldg. #116",420 22ND ST,4111003,4111,003,true,17400,Port,false,name,Pier 70,222
pier-70,2001,"Pier 70 - SWL 349 - Test Room, Bldg. #23",420 22ND ST,4111003,4111,003,true,4356,Port,false,name,Pier 70,222
pier-70,2002,"Pier 70 - SWL 349 - UIW Machine Shop, Bldg. #114",420 22ND ST,4111003,4111,003,true,8000,Port,false,name,Pier 70,222
pier-70,2003,Pier 70 - SWL 349 Building #6 (condemned),420 22ND ST,4111003,4111,003,true,34707,Port,false,name,Pier 70,222
pier-70,2004,Pier 70 - SWL 349 Equipment Bldg - Bldg #14,420 22ND ST,4111003,4111,003,true,15969,Port,false,name,Pier 70,222
pier-70,2005,Pier 70 - SWL 349 Heavy Machine Shop - Bldg #113,420 22ND ST,4111003,4111,003,true,74566,Port,false,name,Pier 70,222
pier-70,3091,Pier 70 - SWL 349 Office Building - Bldg. #11 Noonan,PIER 70,4111003,4111,003,true,,Port,false,name,Pier 70,222
pier-70,2006,Pier 70 - SWL 349 SF Shipyard Training Bldg 117,420 22ND ST,4111003,4111,003,true,30940,Port,false,name,Pier 70,222
pier-70,2007,Pier 70 - SWL 349 Shop Building - Bldg #21,420 22ND ST,4111003,4111,003,true,10172,Port,false,name,Pier 70,222
pier-70,2008,Pier 70 - SWL 349 Traffic Department Bldg. #12 & #15,420 22ND ST,4111003,4111,003,true,78116,Port,false,name,Pier 70,264
pier-70,2009,Pier 70 - SWL 349 Traffic Dept. Shed - Bldg #66,420 22ND ST,4111003,4111,003,true,22116,Port,false,name,Pier 70,222
pier-70,2010,Pier 70 - SWL 349 Warehouse - Bldg.2,420 22ND ST,4111003,4111,003,true,96804,Port,false,name,Pier 70,222
