sub_object_code,sub_object,spend_class,basis,needs_review,classified_at
544310,Laboratory Supplies,purchase,label_rule,false,2026-07-28
549720,Electronic Collection-LIB Only,purchase,code_range,false,2026-07-28
574210,Loan Interest Expense,ledger,label_rule,false,2026-07-28
549250,Minor Data Processing Equipmnt,purchase,label_rule,false,2026-07-28
556310,Med Multi Plans-Vision Care,unclear,unassigned,true,2026-07-28
553230,Litigation Expenses-Legal Fees,unclear,unassigned,true,2026-07-28
549210,Data Processing Supplies,purchase,label_rule,false,2026-07-28
553210,Litigation Expenses,unclear,unassigned,true,2026-07-28
522020,Training Costs Paid To Vendors,purchase,code_range,false,2026-07-28
544410,Medical Supplies,purchase,label_rule,false,2026-07-28
536210,Day Care Assistance,unclear,unassigned,true,2026-07-28
527820,Registry,purchase,code_range,false,2026-07-28
566110,Land-Direct Purchase,purchase,code_range,false,2026-07-28
545990,Other Safety Expenses,purchase,code_range,false,2026-07-28
535950,Credit Card Processing Fees,unclear,unassigned,true,2026-07-28
548995,WTR & WWE Treatment Chemicals,purchase,code_range,false,2026-07-28
529110,Dp-Wp Equipment Maint,purchase,label_rule,false,2026-07-28
553120,Judgements - Legal Fees,unclear,unassigned,true,2026-07-28
553110,Judgements - Claims,unclear,unassigned,true,2026-07-28
542110,Electrical,purchase,code_range,false,2026-07-28
543990,Other Equipment Maint Supplies,purchase,label_rule,false,2026-07-28
542990,Other Bldg Maint Supplies,purchase,label_rule,false,2026-07-28
AR,Accounts Receivable,ledger,label_rule,false,2026-07-28
410981,Commty Facilts Distrct Cfd Tax,obligation,label_rule,false,2026-07-28
571310,Cap Leases Principal Repaymnt,purchase,label_rule,false,2026-07-28
570000,Debt Service-Budget,obligation,label_rule,false,2026-07-28
529410,Medical Equip Maint,purchase,label_rule,false,2026-07-28
545310,Uniforms,purchase,code_range,false,2026-07-28
200002,Accounts Payable,ledger,label_rule,false,2026-07-28
535610,Postage,unclear,unassigned,true,2026-07-28
412912,Overpaid Executive Tax,obligation,label_rule,false,2026-07-28
556650,Nc-Disability Insurance,unclear,unassigned,true,2026-07-28
535710,Subscriptions,unclear,unassigned,true,2026-07-28
549410,Minor Furnishings,purchase,code_range,false,2026-07-28
560710,"Medical, Dental & Lab Equipmnt",obligation,label_rule,false,2026-07-28
524010,Membership Fees,purchase,code_range,false,2026-07-28
548990,Water &Sewage Treatment Supply,purchase,label_rule,false,2026-07-28
531990,Other Equipment Rentals,purchase,label_rule,false,2026-07-28
