projet_id,projet_year,projet_nom,projet_montant,projet_arr,numero_marche,fournisseur_nom,fournisseur_siret,marche_objet,marche_annee,marche_montant,score,label,reason
2022_17_52_010,2022,"CC 30, rue Christine de Pisan - Modernisation postes de change T1/2",103840.0,17,20191210000376,REA CONCEPT,44331692200014,MODERNISATION DES POSTES DE CHANGE CC 12 G. REBUFFAT 75019,2019,105636.74,0.65,probable,"overlap=['change', 'postes']"
2023_15_42_008,2023,Jardin Atlantique - Rénovation des aires de jeux,103809.94,15,20232023S00836,SOLEUS,45165792800037,SA3 VERIF REGLEMENTAIRE AIRES DE JEUX_ECOLES/PTE ENFANCE LT1,2023,1400000.0,0.9,confirmed,"overlap=['aires', 'jeux']"
2023_15_42_008,2023,Jardin Atlantique - Rénovation des aires de jeux,103809.94,15,20232023T01178,AGILIS,44322232800025,SA4 REFECTION PISTE ATHLE/AIRES STADE PERSHING 12E LOT1,2023,804386.9,0.7,probable,overlap=['aires']
2023_15_42_008,2023,Jardin Atlantique - Rénovation des aires de jeux,103809.94,15,20232023T01179,AGILIS,44322232800025,SA4 REFECTION PISTE ATHLE/AIRES STADE PERSHING 12E LOT2,2023,728849.19,0.7,probable,overlap=['aires']
2023_15_42_008,2023,Jardin Atlantique - Rénovation des aires de jeux,103809.94,15,20232023S01608,AUDITOIRE SHOPPER,83408292700015,M. SUBS. PROD. DÉLÉGUÉE JEUX SPORTIFS SCOLAIRES - JSS 2023,2023,249772.0,0.7,probable,overlap=['jeux']
2023_15_42_008,2023,Jardin Atlantique - Rénovation des aires de jeux,103809.94,15,20222022F09996,MARCHE MULTIATTRIBUTAIRE,#,SA3 FOURN/POSE JEUX EXTERIEUR POUR ETABLISSTS LOT1 MULTIATTR,2022,14000000.0,0.7,probable,overlap=['jeux']
2022_10_27_005,2022,EM Pierre Bullet - Cour oasis,103458.0,10,20222022T03917,ASTEN,54205733600878,REFECTION COURS OASIS EM DOMREMY 13EME,2022,405483.93,0.7,probable,overlap=['oasis']
2022_10_27_005,2022,EM Pierre Bullet - Cour oasis,103458.0,10,20222022T02237,COCHERY ILE DE FRANCE,41797626300018,TVX TRANSFORMATION COURS EN COURS OASIS EE 32-34 BRUXELLES,2022,376186.52,0.7,probable,overlap=['oasis']
2022_10_27_005,2022,EM Pierre Bullet - Cour oasis,103458.0,10,20222022T03609,COCHERY ILE DE FRANCE,41797626300018,COURS OASIS LOT3 EE SAINT SEBATIEN 11EME,2022,320261.2,0.7,probable,overlap=['oasis']
2022_10_27_005,2022,EM Pierre Bullet - Cour oasis,103458.0,10,20222022T03135,ENTREPRISE JEAN LEFEBVRE ILE DE FRA,31547453600051,MARCHÉ SUBSÉQUENT TRANSFORMATION EN COURS OASIS GS HIP MAIND,2022,316406.37,0.7,probable,overlap=['oasis']
2022_10_27_005,2022,EM Pierre Bullet - Cour oasis,103458.0,10,20222022T04164,ENTREPRISE JEAN LEFEBVRE ILE DE FRA,31547453600051,REFECT° DE COURS DS LECADRE DU PROGR OASIS EM 17/35 P.D'IVRY,2022,261324.0,0.7,probable,overlap=['oasis']
2023_11_30_011,2023,"Ecole maternelle - 6 cité Voltaire - Cour oasis, travaux de modernisation des portes et fenêtres",103386.23,11,20222022T03985,ETS SYLVAIN JOYEUX GENNEVILLIERS,32933888302274,AMENAGEMENT D'UNE COURS OASIS EM 6/8 CITÉ VOLTAIRE 75011 PAR,2022,207739.63,1.0,confirmed,"overlap=['cite', 'oasis', 'voltaire']"
2023_11_30_011,2023,"Ecole maternelle - 6 cité Voltaire - Cour oasis, travaux de modernisation des portes et fenêtres",103386.23,11,20242024T00122,EIFFAGE ROUTE ILE DE FRANCE,43360419600496,"SA3_ACMS_TVX COURS OASIS_5,6,7ÈME & 13ÈME A 17ÈME ARDT_LOT2",2024,60000000.0,0.75,probable,overlap=['oasis']
2023_11_30_011,2023,"Ecole maternelle - 6 cité Voltaire - Cour oasis, travaux de modernisation des portes et fenêtres",103386.23,11,20232023T04542,EUROVIA ILE DE FRANCE,42094822600089,TVX AMENAGT COURS-PATIOS EN COUR OASIS ELEM 61 VILLETTE 19E,2023,612683.53,0.7,probable,overlap=['oasis']
2023_11_30_011,2023,"Ecole maternelle - 6 cité Voltaire - Cour oasis, travaux de modernisation des portes et fenêtres",103386.23,11,20232023T03335,ASTEN,54205733600878,COURS OASIS GS LITTRE 6EME,2023,449190.0,0.7,probable,overlap=['oasis']
2023_11_30_011,2023,"Ecole maternelle - 6 cité Voltaire - Cour oasis, travaux de modernisation des portes et fenêtres",103386.23,11,20232023T02945,COLAS FRANCE,32933888302274,D’AMÉNAG D’UNE COURS OASIS L’ÉCOLE MATERNELLE BULLOURDE 11ÈM,2023,227883.91,0.7,probable,overlap=['oasis']
2022_00_9_010,2022,Place André Malraux - Réfection de la Chaussée,103382.0,0,,,,,,,,no_match,aucun candidat score >= 0.60
2024_09_24_006,2024,Square D'Estienne D'Orves Dit De La Trinité - Rénovation du jardin,103025.63,9,20212021T00307,LOUBIERE LA FORGE D'ART,35220000000029,SA4 RESTAURATION MASSIF ENTREE EGLISE TRINITE LOT5 SERRURERI,2021,662719.7,0.9,confirmed,overlap=['trinite']
2024_09_24_006,2024,Square D'Estienne D'Orves Dit De La Trinité - Rénovation du jardin,103025.63,9,20232023T02307,REOLIAN MULTITEC,69201718900097,TRAVAUX MODERNISATION RÉFECTOIRE EP ROBERT ESTIENNE PARIS 8E,2023,50455.01,0.85,confirmed,overlap=['estienne']
2024_09_24_006,2024,Square D'Estienne D'Orves Dit De La Trinité - Rénovation du jardin,103025.63,9,20222022T03252,TRAVAUX BATIMENTS ELECTRICITE SECUR,39436621500041,TRAVAUX RENOVATION ÉCOLES BIENFAISANCE FLORENCE ESTIENNE 8EM,2022,333333.2,0.85,confirmed,overlap=['estienne']
2022_05_12_003,2022,"du schéma directeur securité-accessibilité, Restauration de la salle du Capitant",102709.0,5,20191210001306,GM BATIMENT DE FRANCE 1,78842069300020,SA4 TVX MISE EN SECURITE/ACCESSIBILITE MAIRIE 5ÈME LOT1,2019,2042892.3,1.0,confirmed,"overlap=['accessibilite', 'securite']"
2022_05_12_003,2022,"du schéma directeur securité-accessibilité, Restauration de la salle du Capitant",102709.0,5,20196000000043,ALGOE,35288592500029,MGP_AMO SCHEMA DIRECTEUR ENERGETIQUE_PILOTAGE DÉMARCHE LOT 1,2019,81025.0,1.0,confirmed,"overlap=['directeur', 'schema']"
2022_05_12_003,2022,"du schéma directeur securité-accessibilité, Restauration de la salle du Capitant",102709.0,5,20222022T00600,TERSEN,31789665200052,SA4 LOT3 DECONSTRUCT. POUR MESURES SECURITE BATIMENTAIRE,2022,800000.0,0.85,confirmed,overlap=['securite']
2022_05_12_003,2022,"du schéma directeur securité-accessibilité, Restauration de la salle du Capitant",102709.0,5,20222022S04012,SPIE FACILITIES,53870002200022,SA3 MAINTENANCE EQUIPTS SECURITE DES STATIONS ASSAINN LOT2,2022,400000.0,0.85,confirmed,overlap=['securite']
